	Var12	Var13	Var22	Var23	Var32	Var33	Var34	Var35	Var42	Var43	Var44	Var45	resp
set1.alt1	0	1	0	1	0	0	0	0	0	0	1	0	1
set1.alt2	0	0	0	0	0	0	0	1	1	0	0	0	0
set1.alt3	1	0	0	1	0	0	1	0	0	0	0	1	0
set2.alt1	0	0	0	0	0	0	1	0	0	1	0	0	0
set2.alt2	1	0	0	0	0	0	0	0	1	0	0	0	1
set2.alt3	0	1	1	0	1	0	0	0	0	0	0	0	0
set3.alt1	0	0	0	1	0	0	0	1	0	0	0	0	0
set3.alt2	1	0	0	0	0	1	0	0	0	0	1	0	0
set3.alt3	0	1	0	0	1	0	0	0	0	0	0	1	1
set4.alt1	1	0	0	0	1	0	0	0	0	0	0	0	1
set4.alt2	0	1	0	1	0	1	0	0	0	0	1	0	0
set4.alt3	0	1	1	0	0	0	0	0	1	0	0	0	0
set5.alt1	1	0	0	1	0	0	1	0	1	0	0	0	0
set5.alt2	0	0	0	0	0	1	0	0	0	0	0	0	1
set5.alt3	1	0	1	0	0	0	0	1	0	1	0	0	0
set6.alt1	0	0	0	0	0	0	0	1	0	0	1	0	0
set6.alt2	1	0	0	1	0	0	0	0	0	0	0	0	0
set6.alt3	0	0	1	0	0	1	0	0	0	1	0	0	1
set7.alt1	0	1	0	0	0	0	0	0	0	1	0	0	1
set7.alt2	1	0	1	0	0	1	0	0	0	0	0	0	0
set7.alt3	0	0	0	1	1	0	0	0	0	0	1	0	0
set8.alt1	1	0	0	1	0	0	0	1	0	0	0	1	0
set8.alt2	0	0	1	0	0	0	0	0	0	0	0	0	1
set8.alt3	0	1	0	0	0	0	1	0	1	0	0	0	0
set9.alt1	0	0	0	0	0	0	1	0	0	0	0	0	0
set9.alt2	1	0	0	1	1	0	0	0	0	1	0	0	0
set9.alt3	0	0	1	0	0	1	0	0	0	0	0	1	1
set10.alt1	1	0	0	0	0	1	0	0	0	1	0	0	1
set10.alt2	1	0	1	0	0	0	1	0	0	0	1	0	0
set10.alt3	0	0	0	1	0	0	0	0	0	0	0	1	0
set11.alt1	0	0	1	0	0	0	1	0	0	0	0	1	0
set11.alt2	1	0	0	0	0	0	0	0	0	0	1	0	1
set11.alt3	0	0	0	1	0	1	0	0	1	0	0	0	0
set12.alt1	0	0	0	1	0	0	0	0	0	1	0	0	0
set12.alt2	0	0	1	0	1	0	0	0	1	0	0	0	0
set12.alt3	0	1	0	0	0	0	0	1	0	0	0	0	1
set13.alt1	0	1	0	0	0	0	0	1	0	0	0	1	0
set13.alt2	1	0	1	0	1	0	0	0	0	0	1	0	1
set13.alt3	1	0	1	0	0	0	1	0	0	1	0	0	0
set14.alt1	0	0	1	0	0	1	0	0	0	0	0	1	0
set14.alt2	0	1	0	1	1	0	0	0	1	0	0	0	0
set14.alt3	1	0	1	0	0	0	1	0	0	1	0	0	1
set15.alt1	1	0	0	0	1	0	0	0	0	0	0	1	1
set15.alt2	0	1	0	1	0	0	0	1	0	1	0	0	0
set15.alt3	1	0	1	0	0	0	1	0	0	0	0	0	0
set16.alt1	0	0	1	0	0	0	1	0	0	0	1	0	0
set16.alt2	1	0	1	0	0	0	0	1	1	0	0	0	1
set16.alt3	1	0	0	1	0	1	0	0	0	0	0	0	0
